Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Lene de Araújo Lopes, Kátia||Regina Ney Matos, Fátima||Machado, Diego de Queiroz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,GESTÃO DE COOPERATIVAS EM ARRANJOS PRODUTIVOS LOCAIS,Não informado pela instituição,Universidade Estadual de Montes Claros (UNIMONTES),UNIMONTES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.periodicos.unimontes.br/index.php/rds/article/view/1833
"Araújo, Wilson Alves de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Arranjos produtivos locais: uma estratégia para o desenvolvimento regional,Não informado pela instituição,Faculdade do Sul da Bahia (FASB),FASB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Economia||Arranjo produtivo||Competitividade||Desenvolvimento econômico,Não informado pela instituição,https://revistamosaicum.org/index.php/mosaicum/article/view/378
"Debortoli,Joseane Viola Coelho||Bernardino,Crystyane Ferreira||Araújo,Uajará Pessoa||Lopes,Daniel Paulino Teixeira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,META-ESTUDO CRÍTICO DE PESQUISAS EM ARRANJOS PRODUTIVOS LOCAIS,Não informado pela instituição,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Arranjo Produtivo Local||Produção Acadêmica||Meta-Estudo,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-23112020000300709
"Silva Antero, Cecilia Alves da||Emmendoerfer, Magnus||Mediotte, Elias José||Dallabrida, Valdir Roque",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,ARRANJOS PRODUTIVOS LOCAIS E REPRESENTAÇÃO DE INTERESSES NO TURISMO,Não informado pela instituição,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Geografia; Política Pública; Turismo.||Governança Territorial; Políticas Públicas; Ação Coletiva; Cidades Turísticas.,Não informado pela instituição,https://revistas.ufpr.br/raega/article/view/81577
"J. Arruda de Oliveira , Thiago||H. Dörner , Stefan||B. Schneider , Mirian",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desenvolvimento econômico no Matopiba: os arranjos produtivos locais da soja,Não informado pela instituição,Universidade Federal de Uberlândia (UFU),UFU,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://seer.ufu.br/index.php/revistaeconomiaensaios/article/view/57246
"Tizziotti,Catarine Palmieri Pitangui||Truzzi,Oswaldo Mário Serra||Barbosa,Agnaldo de Sousa",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Arranjos produtivos locais: uma análise baseada na participação das organizações locais para o desenvolvimento,Não informado pela instituição,Universidade Federal de São Carlos (UFSCAR),UFSCAR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Ambiente Institucional||Produção local||Indústria de calçados||Franca-SP,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2019000200221
"Oliveira,Fábio Ribeiro de||França,Sergio Luiz Braga||Rangel,Luís Alberto Duncan",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Princípios de economia circular para o desenvolvimento de produtos em arranjos produtivos locais,Não informado pela instituição,Universidade Católica Dom Bosco (UCDB),UCDB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,arranjos produtivos locais||economia circular||desenvolvimento de produtos||sustentabilidade||ciclo de vida,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122019000401179
"Corrêa Neto, Gilcindo de Castro||Marini, Marcos Junior||Gazolla, Marcio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Políticas Públicas para Arranjos Produtivos Locais: uma análise do Sul do Brasil,Não informado pela instituição,Instituto Paranaense de Desenvolvimento Econômico e Social (IPARDES),IPARDES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Políticas Públicas. Planejamento Plurianual (PPA). Economia Regional. Arranjos Produtivos Locais (APLs). Sul do Brasil.,Não informado pela instituição,https://ipardes.emnuvens.com.br/revistaparanaense/article/view/934
"Junqueira Lustosa, Maria Cecília||Apolinário, Valdênia||Lussieu da Silva, Maria",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,ARRANJOS PRODUTIVOS LOCAIS COMO POLÍTICA DE INCLUSÃO PRODUTIVA NO NORDESTE BRASILEIRO,Não informado pela instituição,Instituto Paranaense de Desenvolvimento Econômico e Social (IPARDES),IPARDES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Arranjos produtivos locais. Nordeste. Desigualdades regionais. Inclusão produtiva.,Não informado pela instituição,https://ipardes.emnuvens.com.br/revistaparanaense/article/view/988
"Strate, Mirian Fabiane Dickel||Conterato, Marcelo Antonio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Agroindustrialização e arranjos produtivos locais como estratégia de diversificar e fortalecer a agricultura familiar no RS,2018,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Agroindustrialização||Agroindústria familiar||Agricultura familiar||Arranjos produtivos||Associativismo||Vale do Taquari, Região (RS)",Family farming||Short chains||Agroindustries||Markets||Productive arrangements,http://hdl.handle.net/10183/224805
