Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"do Nascimento, Aline Elesbão||et alli, et alli",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Bioética para o desenvolvimento tecnológico e inovação,Não informado pela instituição,Universidade Católica de Pernambuco (UNICAP),UNICAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://www.unicap.br/ojs/index.php/agora/article/view/1224
"da Conceição, Edemilson",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desenvolvimento tecnológico e inovação em fitomedicamentos,Não informado pela instituição,Fundação Oswaldo Cruz (Fiocruz),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://revistafitos.far.fiocruz.br/index.php/revista-fitos/article/view/1078
"Conceição, Edemilson Cardoso da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desenvolvimento tecnológico e inovação em fitomedicamentos,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/43702
"Conceição, Edemilson Cardoso da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desenvolvimento tecnológico e inovação em fitomedicamentos,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/48171
"VERNEQUE, R. da S.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desenvolvimento tecnológico e evolução da agropecuária brasileira.,Não informado pela instituição,Empresa Brasileira de Pesquisa Agropecuária (Embrapa),EMBRAPA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Agropecuária||Tecnologia||Gado Leiteiro,Não informado pela instituição,http://www.infoteca.cnptia.embrapa.br/infoteca/handle/doc/1141884
"Mansano, Josyane||Souza, Paulo Roberto Pereira de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,EXTERNALIDADES DO DESENVOLVIMENTO TECNOLÓGICO E SUAS CONSEQUÊNCIAS FACE À SOCIEDADE DE RISCO,Não informado pela instituição,Universidade de Marília (Unimar),UNIMAR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://ojs.unimar.br/index.php/revistaargumentum/article/view/1060
"Krause, João Carlos||Dornelles Venquiaruto, Luciana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,EDITORIAL: O DESENVOLVIMENTO TECNOLÓGICO E CIENTIFCO E SUA RELAÇÃO COM A SOCIEDASDE.,Não informado pela instituição,Universidade Regional Integrada do Alto Uruguai e das Missões (URI),URI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://san.uri.br/revistas/index.php/encitec/article/view/907
"de Lima, Andre Gonçalves||da Silva Filho, José Barbosa||Godoy Junior, Ederaldo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O CENÁRIO DE MUDANÇAS NA INDÚSTRIA MARÍTIMA COMO CATALISADOR DO DESENVOLVIMENTO TECNOLÓGICO,Não informado pela instituição,Escola de Guerra Naval (EGN),EGN,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,SOx||NOx||GHG||emissão de poluentes,Não informado pela instituição,https://www.revistadaegn.com.br/index.php/revistadaegn/article/view/874
"CHEDIEK, JULIANA DA SILVA RIBEIRO GOMES||ROCHA, EDUARDO BISERRA",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,PARTICULARIDADES NAS CONTRATAÇÕES DE INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO DA ADMINISTRAÇÃO PÚBLICA,Não informado pela instituição,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),CONPEDI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,contratos da Administração; inovação; pesquisa e desenvolvimento; novas tecnologias; licitações,Não informado pela instituição,http://www.indexlaw.org/index.php/revistadipic/article/view/3978
"VILELA, D.||BASIGALUP, D. H.||FERREIRA, R. de P.||ALVES, E.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O desenvolvimento tecnológico das cadeias produtivas latino-americanas.,2020,Empresa Brasileira de Pesquisa Agropecuária (Embrapa),EMBRAPA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Technological innovation,Não informado pela instituição,http://www.alice.cnptia.embrapa.br/alice/handle/doc/1135240
