Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Oliveira, Adelia Maria Spacek Dantas de||Vacovski, Eduardo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Desafios da aplicação do BSC nas Instituições Federais de Educação Tecnológica,Não informado pela instituição,Centro Universitário Internacional (UNINTER),UNINTER,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.revistasuninter.com/revistaorganizacaosistemica/index.php/organizacaoSistemica/article/view/399
"Cunha Ilha, Gisandro||Muenchen, Cristiane",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O ANTIDIÁLOGO ENTRE A FORMAÇÃO TECNOCIENTÍFICA E A HUMANÍSTICA NA EDUCAÇÃO TECNOLÓGICA,Não informado pela instituição,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo (IFES)",IFES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Tecnociência||Humanidades||Antidiálogo,Não informado pela instituição,https://ojs.ifes.edu.br/index.php/dect/article/view/208
"Afonso, Anthone Mateus Magalhães||Gonzalez, Wania Regina Coutinho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,KARL MARX: Educação Tecnológica/Politécnica e a atualidade das suas reflexões,Não informado pela instituição,Universidade do Estado da Bahia (UNEB),UNEB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Concepção de educação||Educação profissional e tecnológica||Trabalho e educação,Não informado pela instituição,https://revistas.uneb.br/index.php/plurais/article/view/7787
"Obata, Joice Yuko||Mocrosky, Luciane Ferreira||Kalinke, Marco Aurélio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Tecnologia, educação e educação tecnológica: heranças e endereçamentos",Não informado pela instituição,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS)",IFRS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ifrs.edu.br/index.php/tear/article/view/2727
"Eggert, Katia Monica Verdim",Não informado pela instituição,"Sacchelli, Carlos Mauricio||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Proposta de inserção da Educação Tecnológica no Ensino Fundamental,2018-02-17,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Tecnologias de Informação e Comunicação (TICs)||Ensino Fundamental||Educação Tecnológica,Não informado pela instituição,https://repositorio.ufsc.br/xmlui/handle/123456789/183564
"Murta Moreno, Marina Gomes; Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais (FSULDEMINAS).||Garcia Costa, Cassio Henrique; Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais, Campus Poços de Caldas.||Junior, Geraldo Tessarini; Instituto Federal de Educação, Ciência e Tecnologia de São Paulo (IFSP), Campus São Roque.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Balanced Scorecard como apoio à gestão estratégica de uma unidade de Instituto Federal de Educação Tecnológica,Não informado pela instituição,IFMG,IFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Administração; Educação||Gestão Estratégica; Planejamento Estratégico; Balanced Scorecard. Instituto Federal de Educação, Ciência e Tecnologia.",Não informado pela instituição,http://www.forscience.ifmg.edu.br/forscience/index.php/forscience/article/view/608
"Martins Gonçalves de Morais, Diogo||Inácio de Oliveira, Victor||Paubel Junger, Alex||Francisco Blumetti Facó, Júlio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"O CONCEITO DE INTELIGÊNCIA ARTIFICIAL USADO NO MERCADO DE SOFTWARES, NA EDUCAÇÃO TECNOLÓGICA E NA LITERATURA CIENTÍFICA",Não informado pela instituição,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo (IFES)",IFES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"inteligência artificial, conceituação, reconhecimento de padrões, associação de dados, tomada de decisão",Não informado pela instituição,https://ojs.ifes.edu.br/index.php/ept/article/view/557
"Ramos Neto, João Oliveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,COMO A REFORMA DO ENSINO MÉDIO AFETA A REDE FEDERAL DE EDUCAÇÃO TECNOLÓGICA,Não informado pela instituição,"Instituto Federal de Educação, Ciência e Tecnologia Goiano (IF Goiano)",IFGO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Educação||Ensino Médio||Ensino Técnico.,Não informado pela instituição,https://periodicos.ifgoiano.edu.br/multiscience/article/view/366
"Santos, Gilberto Lacerda dos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Educação, Tecnologias e Inovação Pedagógica: em busca do Interativismo Colaborativo",Não informado pela instituição,Universidade do Estado da Bahia (UNEB),UNEB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Digital Technologies of Information, Communication and Expression; Teaching-learning theories; Collaborative interactivity.||Tecnologías digitales de información, comunicación y expresión; Teorías de enseñanza-aprendizaje; Interactividad colaborativa.||Tecnologias Digitais de Informação Comunicação e Expressão||Teorias de Ensino-Aprendizagem||Interativismo colaborativo",Não informado pela instituição,https://www.revistas.uneb.br/index.php/faeeba/article/view/11741
"Santana, Camila Lima Santana e||Borges Sales, Kathia Marise",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"AULA EM CASA: EDUCAÇÃO, TECNOLOGIAS DIGITAIS E PANDEMIA COVID-19.",Não informado pela instituição,Universidade Tiradentes (UNIT),UNIT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Tecnologias Digitais. Educação a Distância. Ensino Híbrido. Educação Online. Ensino Remoto. Pandemia COVID-19.,Não informado pela instituição,https://periodicos.set.edu.br/educacao/article/view/9181
