Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Machado, Nelson Santos||Luchese, Gabriela Terezinha||Bencke, Fernando Fantoni",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Gestão da Inovação: o Caso da Celulose Irani (SC),Não informado pela instituição,Universidade Federal Fluminense (UFF),UFF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inovação||Núcleo de Inovação||Estratégia||Gestão da Inovação,Não informado pela instituição,https://www.rasi.vr.uff.br/index.php/rasi/article/view/258
"Oliveira, Pryscilla Morais de",Não informado pela instituição,"Lins, Luciana Nascimento||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Modelo para a gestão da inovação na construção civil: estudo de caso,2018,Universidade Católica de Brasília (UCB),UCB,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Escola de Exatas, Arquitetura e Meio Ambiente",Engenharia Civil (Graduação),Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Engenharia civil||Gestão da inovação||Construção civil||Modelo conceitual||Método PDCA,Não informado pela instituição,https://repositorio.ucb.br:9443/jspui/handle/123456789/11914
"Sbragia, Roberto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Projeto Ocean Manaus: um caso de gestão em inovação tecnológica,Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,SUSTENTABILIDADE,Não informado pela instituição,https://www.brazilianjournals.com/index.php/BRJD/article/view/27104/21605
"UNICAMP, Revista Brasileira de Inovação",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Errata: Introdução à seção especial “Temas emergentes em Gestão da Inovação e Empreendedorismo”,Não informado pela instituição,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Errata||Erratum||Errata,Não informado pela instituição,https://periodicos.sbu.unicamp.br/ojs/index.php/rbi/article/view/8669956
"Nacif, Regina Coeli",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Construção de conhecimento à distância: a experiência do curso de gestão da inovação em medicamentos da biodiversidade,Não informado pela instituição,Fundação Oswaldo Cruz (Fiocruz),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Ensino. Inovação. Medicamentos. Biodiversidade. Construção do conhecimento.,Não informado pela instituição,http://revistafitos.far.fiocruz.br/index.php/revista-fitos/article/view/476
"Jamal, Claudia Maria Camilher||Albrecht Anversa, Marcus Vinícius||de Souza Chacon, Paulo Antônio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A conexão do Sistema de Gestão da Qualidade Total (SGQ) com a Gestão da Inovação (GI),Não informado pela instituição,Universidade Federal Fluminense (UFF),UFF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Sistema de Gestão da Qualidade||Inovação||Conjugação Biunívoca,Não informado pela instituição,https://www.revistasg.uff.br/sg/article/view/1604
"Panizzon, Mateus",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"EDITORIAL - REVISTA BRASILEIRA DE GESTÃO E INOVAÇÃO (RBGI) V. 10, n. 1, Setembro/Dezembro, 2022",Não informado pela instituição,Universidade de Caxias do Sul (UCS),UCS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://www.ucs.br/etc/revistas/index.php/RBGI/article/view/11104
"Leandro, Franciele Regina",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Gestão da inovação em empresas de base tecnológica: um estudo de caso em empresas incubadas,Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,INOVAÇÕES TECNOLÓGICAS,Não informado pela instituição,https://doi.org/10.15446/innovar.v29n74.82062
"Billacrês, Máximo Alfonso Rodrigues||Costa, Reinaldo Correa||Nunez, Cecilia Veronica",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A cadeia produtiva na Gestão da Inovação da Biotecnologia: o camu-camu (Myrciaria dubia H. B. K.) no Amazonas,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/48176
"Billacrês, Máximo Alfonso Rodrigues||Costa, Reinaldo Correa||Nunez, Cecilia Veronica",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A cadeia produtiva na Gestão da Inovação da Biotecnologia: o camu-camu (Myrciaria dubia H. B. K.) no Amazonas,2020,Fundação Oswaldo Cruz (FIOCRUZ),FIOCRUZ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.arca.fiocruz.br/handle/icict/43707
