Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Matos, Guilherme Paraol de||Teixeira, Clarissa Stefani",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"CARACTERÍSTICAS, DISTINÇÕES E SEMELHANÇAS ENTRE SISTEMAS DE INOVAÇÃO E ECOSSISTEMAS DE INOVAÇÃO",Não informado pela instituição,Pontifícia Universidade Católica de Minas Gerais (PUC Minas),PUC_MINS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,innovation systems; innovation ecosystems; integrative review||sistemas de inovação; ecossistemas de inovação; revisão integrativa,Não informado pela instituição,http://periodicos.pucminas.br/index.php/economiaegestao/article/view/23086
"KON,ANITA",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A inovação nos serviços como instrumento para a Inovação Social: uma visão integrativa,Não informado pela instituição,EDITORA 34,EDITORA_34,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inovação||Serviços||Inovação social||Serviços estatais||Redes||Informática,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572018000300584
"CANCI,EDIANE",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Crescimento econômico e inovação: uma estimativa da fronteira de possibilidades de inovação,Não informado pela instituição,EDITORA 34,EDITORA_34,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Crescimento e desenvolvimento econômico||progresso técnico||inovação,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572021000100155
"Roque Dantas, Ana||Ferreira, Ana Margarida Grenho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inovação em Portugal,2019,Agência para a Sociedade do Conhecimento (UMIC) - FCT - Sociedade da Informação,RCAAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inovação abandonada||desempenho financeiro||acumulação de conhecimento||empresas de alta tecnologia e serviços intensivos em conhecimento,Não informado pela instituição,http://hdl.handle.net/10362/92280||https://doi.org/10.30553/sociologiaonline.2019.21.4
"Silveiro, Sandra Pinho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,INOVAÇÃO E RENOVAÇÃO,Não informado pela instituição,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://seer.ufrgs.br/index.php/hcpa/article/view/100371
"Nassar, Paulo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A palavra como inovação,Não informado pela instituição,Universidade de São Paulo (USP),USP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,COMUNICAÇÃO NA ADMINISTRAÇÃO,Não informado pela instituição,https://www.eca.usp.br/acervo/producao-academica/002981919.pdf
"KITSUTA,CARLA M||QUADROS,RUY",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Gestão da inovação em empresas brasileiras de serviços de tecnologia da informação: modelos de inovação planejada, de aplicação rápida e de inovação deliberada a posteriori",Não informado pela instituição,Fundação Getulio Vargas (FGV),FGV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Gestão da inovação||Inovação em serviços||Indústria de software,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512019000401048
"Oliveira, Guilherme Resende||Godoi, Cintia Neves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,CONCENTRAÇÃO GEOGRÁFICA DA INOVAÇÃO E OS INVESTIMENTOS PÚBLICOS NO ECOSSISTEMA DE INOVAÇÃO GOIANO,Não informado pela instituição,Associação Brasileira de Estudos e Pesquisas em Moda (Abepem),PUC_GO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Desenvolvimento Regional, Economia Regional, Geografia Econômica||ecossistema de inovação, Goiás, Centros de Tecnologias Inovadoras||Ecossistema de inovação",Não informado pela instituição,http://seer.pucgoias.edu.br/index.php/baru/article/view/12123
"Beneli,Daniela Scarpa||Carvalho,Silvia Angélica Domingues de||Furtado,André Tosi",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Indicador composto estadual de inovação (ICEI): uma metodologia para avaliação de sistemas regionais de inovação,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Dispêndio em ciência||tecnologia e inovação||atividade inovativa||impacto,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0103-63512022000200359
"Rossetti, Regina||Goulart, Elias Estevão",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Visão comunicacional da inovação: análise dos sentidos atribuídos à inovação na Revista da Intercom,Não informado pela instituição,Universidade Municipal de São Caetano do Sul (USCS),USCS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://seer.uscs.edu.br/index.php/revista_comunicacao_inovacao/article/view/6409
