Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Coutinho MARCIAL, Elaine||SUAIDEN, Emir José",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A estrutura científica da inteligência competitiva,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6006
"Leite, Luciana Cristina||Belluzzo, Regina Célia Baptista||Belluzzo, Regina Célia Baptista",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência competitiva e competência em informação em startups,Não informado pela instituição,"Federação Brasileira de Associações de Bibliotecários, Cientistas da Informação e Instituições (FEBAB)",FEBAB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Startups. Inteligência Competitiva. Competência em Informação.,Não informado pela instituição,https://rbbd.febab.org.br/rbbd/article/view/1654
"Prado,Anderson Evandro do||Campos,Fernando Celso de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Analise bibliométrica 1990-2014: inteligência competitiva,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Bibliometria||Ciclos||Inteligência Competitiva||Modelos||CobiT,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362018000100071
"Ribeiro,Anna Carolina Mendonça Lemos||Oliveira Junior,Almir de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Inteligência competitiva: revisão sistemática da produção nacional,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inteligência competitiva||administração||ciência da informação||revisão sistemática,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362021000300074
"Rosecler ALCARÁ, Adriana||TOMAÉL, Maria Inês||Pinto de Mendonça UCHOA JUNIOR, Plínio||HECKLER, Valéria Cristina||RODRIGUES, Jorge Luis||da Silva VALENTE, Sulamita",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,As redes sociais como instrumento estratégico para a inteligência competitiva,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,inteligência competitiva||redes sociais||estratégia organizacional,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6335
"BRESSAN, André Machado||BONFIM, Gabriela Massuoca||MACHADO, Rayanne Aparecida||MENEGASSI, Cláudia Herrero Martins||BORECKI, Clinton Rodrigues",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,NÍVEL DE MATURIDADE EM INTELIGÊNCIA COMPETITIVA: ESTUDO DE CASO EM UMA PEQUENA EMPRESA,Não informado pela instituição,Centro Universitário de Maringá (UNICESUMAR),UniCesumar,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inteligência competitiva||Pequenas e médias empresas||Gestão do conhecimento||Modelos de maturidade,Não informado pela instituição,http://rdu.unicesumar.edu.br/handle/123456789/9075
"Oliveira,Paulo Henrique de||Gonçalves,Carlos Alberto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Análise tecnológica e multisetorial das práticas de inteligência competitiva utilizadas pelas organizações brasileiras,Não informado pela instituição,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Inteligência competitiva||Tecnologias da informação e comunicação (TICs)||Profissionais da inteligência||Organizações brasileiras||Pesquisa qualitativa,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-99362021000300030
"Galdino, Juliana||Galdino, Rosangela||Garcia, Leonardo Guimarães",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Ensino de inteligência competitiva: uma análise da literatura presente na Web of Science e na Scopus,Não informado pela instituição,Universidade Estadual de Londrina (UEL),UEL,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Competitive intelligence||Teaching||Course||Web of Science||Scopus.||Inteligencia competitiva||Enseñanza||Curso||Web of Science||Scopus||Inteligência competitiva||Ensino||Curso||Web of Science||Scopus,Não informado pela instituição,https://ojs.uel.br/revistas/uel/index.php/informacao/article/view/44777
"Ferreira, Renata Costa||Jardim, Vaniélli Maria César||Ziviani, Fabricio",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Fontes de informação para geração da inteligência competitiva nas organizações: uma revisão ampliada de literatura,Não informado pela instituição,Universidade Federal do Ceará (UFC),UFC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Gestão da informação. Fontes de informação. Uso da informação. Competitividade. Inteligência Competitiva.,Não informado pela instituição,http://www.periodicos.ufc.br/informacaoempauta/article/view/33475
"Reis, Leonardo Melo dos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O CONHECIMENTO E SUA GESTÃO COMO COMPONENTE ATIVO DO PROCESSO DE INTELIGÊNCIA COMPETITIVA NO CENÁRIO DO EMPREENDEDORISMO,Não informado pela instituição,Faculdade Sul Fluminense (FASF),FASF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://revistavalore.emnuvens.com.br/valore/article/view/376
