Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Martins, Murilo Battistuzzi||Sandi, Jefferson||Souza, Fábio Lopes de||Santos, Ronilson de Souza||Lanças, Kléber Pereira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,OTIMIZAÇÃO ENERGÉTICA DE UM TRATOR AGRÍCOLA UTILIZANDO NORMAS TÉCNICAS EM OPERAÇÕES DE GRADAGEM,Não informado pela instituição,Universidade Federal de Viçosa (UFV),UFV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,desempenho||mecanização agrícola||preparo solo,Não informado pela instituição,https://periodicos.ufv.br/reveng/article/view/762
"Russo, Paulo Roberto",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O Estudo de Legislações e Normas Técnicas e sua Importância para a Formação do Bacharel em Geografia,Não informado pela instituição,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.e-publicacoes.uerj.br/index.php/geouerj/article/view/49104
"Lima, Jonas",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Lei nº 14.133/2021: Licitações, regulação e normas técnicas",2021-09-24,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,licitações,Não informado pela instituição,https://repositorio.ufsc.br/handle/123456789/228172
"Corrêa, Rogerio de O.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Barreiras no comércio internacional, normas técnicas e normas de sustentabilidade: as novas e velhas regras de certificação",2019-01,Fundação Getulio Vargas (FGV),FGV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Barreiras regulatórias||Normas técnicas||Normas voluntárias de sustentabilidade||Regulamentos técnicos||Sustentabilidade,Não informado pela instituição,http://hdl.handle.net/10438/26074
"Alves, Henrique Rosmaninho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A morfologia do resumo e da introdução nos trabalhos científicos em consonância com as normas da Associação Brasileira de Normas Técnicas,Não informado pela instituição,Associação Brasileira de Educação em Ciência da Informação (ABECIN),ABECIN,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Introdução||Resumo||Metodologia||Pesquisa Científica||Normas Técnicas.,Não informado pela instituição,https://portal.abecin.org.br/rebecin/article/view/78
"Martins, Monalisa Coelho||Schmid, Aloísio Leoni",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O tratamento da resistência térmica superficial nas normas técnicas brasileiras e sua influência no consumo energético estimado para edifícios,Não informado pela instituição,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Engenharias; Ambiente Construído; Construção Civil; Processos Construtivos||Radiação; Resistência térmica superficial; Desempenho térmico de edifícios; Zonas Bioclimáticas.,Não informado pela instituição,https://periodicos.utfpr.edu.br/revistagi/article/view/9288
"Merle, Kamila Rodrigues||Fermam, Ricardo Kropf Santos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,ANÁLISE DE ENSAIOS DE QUALIDADE EM TECIDOS DENIM ENTRE NORMAS TÉCNICAS A PARTIR DA NORMA ABNT NBR 014634- TECIDOS PLANOS 100% ALGODÃO- MÉTODO DE ENSAIO,Não informado pela instituição,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Engenharia- Engenharia Têxtil||Qualidade, Normalização, Indústria Têxtil, Laboratório de ensaios e calibrações, Denim.",Não informado pela instituição,https://www.e-publicacoes.uerj.br/index.php/ric/article/view/36907
"Pinheiro, Vinícius Marcos; Universidade Federal de Uberlândia||Gomes, Luciano Coutinho; Universidade Federal de Uberlândia||de Oliveira, Cássio Alves; Universidade Federal de Uberlândia",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Plataforma experimental para análise do rendimento de motores de indução trifásicos por meio de ensaios específicos recomendados na norma técnica NBR17094-3:2018,Não informado pela instituição,IFMG,IFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Engenharia Elétrica||NBR17094-3:2018; Motor de indução trifásico; Rendimento; Parâmetros.,Não informado pela instituição,http://www.forscience.ifmg.edu.br/forscience/index.php/forscience/article/view/633
"Pinheiro, Vinícius Marcos; Universidade Federal de Uberlândia||Gomes, Luciano Coutinho; Universidade Federal de Uberlândia||de Oliveira, Cássio Alves; Universidade Federal de Uberlândia",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Análise do desempenho do motor de indução trifásico por meio de ensaios recomendados em norma técnica e simulação computacional,Não informado pela instituição,IFMG,IFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Engenharia Elétrica||Motor de indução trifásico. NBR17094-3:2018. Parâmetros. Simulação computacional.,Não informado pela instituição,http://www.forscience.ifmg.edu.br/forscience/index.php/forscience/article/view/362
"Barbosa, Willem Wily de Paula||Bias, Edilson de Souza",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Análise das Potencialidades do Uso de Imagens Orbitais de Alta Resolução Espacial Visando Atender as Especificações da Norma Técnica e Georreferenciamento de Imóveis Rurais,Não informado pela instituição,Universidade Federal do Rio de Janeiro (UFRJ),UFRJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Imagem orbital; Georreferenciamento de imóveis rurais; Ortorretificação,Não informado pela instituição,https://revistas.ufrj.br/index.php/aigeo/article/view/30822
