Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Barcelos,Klindia Ramos||Wandekoken,Kallen Dettmann||Dalbello-Araujo,Maristela||Quintanilha,Bruna Ceruti",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A normatização de condutas realizadas pelas Comunidades Terapêuticas,Não informado pela instituição,Centro Brasileiro de Estudos de Saude,CBES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Política pública||Comunidade terapêutica||Saúde mental,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042021000100130
"Oliveira,Juliana Célia de||Barbosa,Altemir José Gonçalves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Invariância Fatorial e Normatização das Escalas de Sobre-Excitabilidade,Não informado pela instituição,Universidade São Francisco (USF),USF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,sobre-excitabilidade||superdotação||psicometria,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712018000400015
"Oliveira, Juliana Célia de||Barbosa, Altemir José Gonçalves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Invariância fatorial e normatização das escalas de sobre-excitabilidade,2018-12,Universidade Federal de Juiz de Fora (UFJF),UFJF,Brasil,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Sobre-excitabilidade||Superdotação||Psicometria||Overexcitability||Giftedness||Psychometrics,Não informado pela instituição,http://dx.doi.org/10.1590/1413-82712018230414||https://repositorio.ufjf.br/jspui/handle/ufjf/9192
"Castelo Branco, Jordanna",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,TRAMA NA CINELÂNDIA: A NORMATIZAÇÃO DO ENSINO RELIGIOSO NO MUNICÍPIO DO RIO DE JANEIRO,Não informado pela instituição,Universidade do Estado da Bahia (UNEB),UNEB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Ensino religioso||Laicidade||Políticas públicas||Ensino público,Não informado pela instituição,https://www.revistas.uneb.br/index.php/faeeba/article/view/7607
"Alverga, Patrick Reinecke de||Lima Filho, Francisco Sales de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Impacto da normatização nos processos de aquisição e contratação de TI = Standardization impacts on it acquisition processes,2018,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Processo administrativo, normalização||Contrato||Compliance||Resolução judicial||Informática, planejamento||Análise de documento",Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/121369
"Silva, Ronaldo||Santana, Janaina de Jesus Lopes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,APORTES SOBRE O RACISMO COLONIAL IMPERIAL: (DES)NORMATIZAÇÃO DA MULHER NEGRA,Não informado pela instituição,Universidade Tiradentes (UNIT),UNIT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.set.edu.br/humanas/article/view/10610
"Martins, Angela Maria||Gomes, Roberto Alves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A normatização do sistema de proteção escolar em São Paulo: situações de conflitos no espaço escolar,Não informado pela instituição,Universidade Cidade de São Paulo (UNICID),UNICID,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Diretrizes da política educacional||Conflito e educação||Escola pública||Gestão administrativa da escola.,Não informado pela instituição,https://publicacoes.unicid.edu.br/index.php/ambienteeducacao/article/view/478
"dos Santos, Luis Ricardo Bykowski||Mollica, Rogério",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"AS EMPRESAS, OS CONSUMIDORES E A NOVEL NORMATIZAÇÃO DA CONCILIAÇÃO E DA MEDIAÇÃO NAS SERVENTIAS EXTRAJUDICIAIS",Não informado pela instituição,Universidade FUMEC,FUMEC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Empresas||Consumidores||Mediação||Conciliação.,Não informado pela instituição,http://revista.fumec.br/index.php/meritum/article/view/7055
"Zanini,Daniela Sacramento||Peixoto,Evandro Morais||Nakano,Tatiana de Cássia",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Escala de Apoio Social (MOS-SSS): Proposta de Normatização com Referência nos Itens,Não informado pela instituição,Sociedade Brasileira de Psicologia (SBP),SBP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Interação social||saúde||normas||teoria de resposta ao item||teste psicológico,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S2358-18832018000100387
"Jacobs,Marina Gasino||Boing,Alexandra Crispim",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Como a normatização sobre o serviço de aborto em gravidez decorrente de estupro afeta sua oferta nos municípios?,Não informado pela instituição,Associação Brasileira de Saúde Coletiva (ABRASCO),ABRASCO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Acesso aos serviços de saúde||Aborto legal||Equidade no Acesso aos Serviços de Saúde||Serviços de Saúde Reprodutiva,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232022000903689
