Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Coeli Ribeiro GARCIA, Joana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patente gera patente?,Não informado pela instituição,Pontifícia Universidade Católica de Campinas (PUC Campinas),PUC_CAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,informação científica e tecnológica||patente||gestão de ciência e tecnologia||transferência de tecnologia,Não informado pela instituição,https://periodicos.puc-campinas.edu.br/transinfo/article/view/6343
"Gonçalves, Antonio Baptista",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Biopirataria e as patentes,2018,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,"Biopirataria||Biodiversidade||Patente, regulação||Proteção ambiental",Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/140259
"Gomes, Marina Marques Novais||Valois, Gabriel Morais||Souza, Júllia Beatriz Araujo||Araujo, Sabrina Layra Souza||Oliveira, Halley Ferraro",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Forame oval patente - revisão de literatura / Patent oval foramen - literature review,Não informado pela instituição,Federação das Indústrias do Estado do Paraná (FIEP),BJRH,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Forame oval patente||Septo interatrial||Manifestações clínicas.,Não informado pela instituição,https://ojs.brazilianjournals.com.br/ojs/index.php/BJHR/article/view/24417
"Scartassini, Verônica Barboza||Alves, Thiago Monteiro||Santos, Fernanda Bochi dos||Gabriel Junior, Rene Faustino||Moura, Ana Maria Mielniczuk de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patentes prioritárias depositadas no Brasil e com proteção na via Patent Cooperation Treaty (PCT),2020,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Patentes||Cientometria||Informação tecnológica,Patentometric||Brazilian patents||Patent Cooperation Treaty (PCT)||Derwent Innovation Index,http://hdl.handle.net/10183/214959
"Weyermüller, André Rafael||Neubarth Fernandes, Pedro Ernesto||Quilim, Yasmin Andressa Maria",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,PATENTES VERDES COMO FORMA DE ADAPTAÇÃO AMBIENTAL: GREEN PATENTES AS A FORM OF ENVIRONMENTAL ADAPTATION,Não informado pela instituição,Universidade Federal de Goiás (UFG),UFG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Adaptação||Inovação||Patentes Verdes||Direito,Não informado pela instituição,https://revistas.ufg.br/revfd/article/view/52941
"Felicio, Caio Zanon de||Munhoz, Eduardo Antonio Pires",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Propostas de alterações à Lei das Patentes,2020,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/140111
"Correia, Pedro Miguel Alves Ribeiro||Silva, Amanda Facão da||Purcaru, Marcella",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O direito de patente na indústria espacial,Não informado pela instituição,Universidade Católica de Petrópolis (UCP),UCP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://seer.ucp.br/seer/index.php/LexHumana/article/view/1393
"Gil, Luís||Pinheiro, Mónica",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Patentes relacionadas com o binómio biomassa-energia,2018,Agência para a Sociedade do Conhecimento (UMIC) - FCT - Sociedade da Informação,RCAAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://hdl.handle.net/10400.26/38052
"de Carvalho, Rafael Lima||da Silva, Tiago Almeida||Gonçalves, Fabrício Barros",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,UMA ANÁLISE DA IMPORTÂNCIA DAS PATENTES RELACIONADAS AO SOFTWARE,Não informado pela instituição,Universidade Federal do Tocantins (UFT),UFT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,software; patentes; propriedade intelectual.||software; patentes; propriedade intelectual.,Não informado pela instituição,https://sistemas.uft.edu.br/periodicos/index.php/observatorio/article/view/7184
"de Carvalho, Rafael Lima||da Silva, Tiago Almeida||Gonçalves, Fabrício Barros",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,UMA ANÁLISE DA IMPORTÂNCIA DAS PATENTES RELACIONADAS AO SOFTWARE,Não informado pela instituição,Universidade Federal do Tocantins (UFT),UFT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,software; patentes; propriedade intelectual.||software; patentes; propriedade intelectual.,Não informado pela instituição,https://sistemas.uft.edu.br/periodicos/index.php/observatorio/article/view/7184
