Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"Mazzola, Marcelo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,A propriedade industrial no novo Processo Civil,2020,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Brasil. Código de processo civil (2015)||Propriedade industrial||Direito processual||Mediação,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/150634
"Santos, Marcel Medon||Pereira Filho, Venicio Branquinho",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Sham litigation e abuso de direitos de propriedade industrial,2018,Superior Tribunal de Justiça (STJ),STJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://bdjur.stj.jus.br/jspui/handle/2011/137743
"Freitas, Luísa Filipe",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O novo quadro legal da Propriedade Industrial em Portugal,2019-06,Agência para a Sociedade do Conhecimento (UMIC) - FCT - Sociedade da Informação,RCAAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Propriedade Industrial||Direito,Não informado pela instituição,http://hdl.handle.net/11144/4296||http://doi.org/10.26619/2184-1845.XX.1.8
"Amorim, Ana",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,O regime jurídico dos segredos comerciais no novo Código da Propriedade Industrial,2019-06,Agência para a Sociedade do Conhecimento (UMIC) - FCT - Sociedade da Informação,RCAAP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://hdl.handle.net/11328/2835
"Araujo, Lidiane Oliveira||Antenor, Mariana Chaves||Andrade, Juliana Santos||Fernandes, Renata Farias||Araujo, Geovane Gomes||Carneiro, Romulo Ferrer||Carneiro, Joelia Marques",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,PROSPECÇÃO TECNOLÓGICA: UM MAPEAMENTO DA PROPRIEDADE INDUSTRIAL NOS INSTITUTOS FEDERAIS DE EDUCAÇÃO NO NORDESTE,Não informado pela instituição,Universidade Federal da Bahia (UFBA),UFBA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://periodicos.ufba.br/index.php/nit/article/view/23078
"Dall’Agnol, Rogéria Prado||Silva, Gabriel Francisco da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Um veneno letal e uma reflexão sobre a propriedade industrial de bens perigosos: : o caso da ricina,Não informado pela instituição,Escola de Guerra Naval (EGN),EGN,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.revistadaegn.com.br/index.php/revistadaegn/article/view/988
"Leão Neto, João Batista de Souza||Guimarães, Patrícia Borba Vilar",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,AS CORRELAÇÕES ENTRE O TRATAMENTO JURÍDICO DA PROPRIEDADE INDUSTRIAL SOBRE FÁRMACOS ANTIRRETROVIRAIS E O DESENVOLVIMENTO NACIONAL,Não informado pela instituição,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),CONPEDI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Propriedade industrial; Desenvolvimento; Patentes; Fármacos antirretrovirais,Não informado pela instituição,http://www.indexlaw.org/index.php/revistadipic/article/view/6400
"Antunes Lopes, Rodrigo||Bertoncini, Carla||do Carmo Gomes, Luiz Geraldo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"O DIREITO AUTORAL, A PROPRIEDADE INDUSTRIAL E A LICENÇA COMPULSÓRIA EM TEMPOS DE PANDEMIA",Não informado pela instituição,Conselho Nacional de Pesquisa e Pós-graduação em Direito (CONPEDI),CONPEDI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Lei 9.610/96; Lei 9.279/96; Direito autoral; Propriedade industrial; Corona vírus.,Não informado pela instituição,http://www.indexlaw.org/index.php/revistadipic/article/view/7691
"Gabriel Junior, Rene Faustino||Moura, Ana Maria Mielniczuk de||Alves, Thiago Monteiro||Santos, Fernanda Bochi dos||Brandão, Felipe Grando||Silva, Fabiano Couto Corrêa da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Etapas do ciclo de vida das patentes depositadas no INPI com base nas revistas de propriedade industrial,2020,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Patentes||Propriedade intelectual,Patents||Patent Life Cycle||Patentometry,http://hdl.handle.net/10183/223795
"Silva, Nelson Marcos Calderaro da||Carniello, Monica Franchi||Oliveira, Edson Aparecida de Araujo Querido||Santos, Moacir José dos||Moraes, Marcela Barbosa de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"PROPRIEDADE INDUSTRIAL NO BRASIL, NO ESTADO DE SÃO PAULO, NA REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE E RECURSOS EMPREGADOS",Não informado pela instituição,Universidade de Taubaté (UNITAU),UNITAU,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://www.lajbm.com.br/index.php/journal/article/view/681
