Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Tipo de documento,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Região da instituição de defesa,UF da instituição de defesa,Natureza administrativa da instituição de defesa,Latitude da instituição de defesa,Longitude da instituição de defesa,Identificador único da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Identificador único do Programa de Pós-Graduação da instituição de defesa,Área do conhecimento,Área de avaliação,Direitos,Grau,Assuntos em português,Assuntos em inglês,URL do documento
"de Oliveira, Heloisa Cortiani||Alfaro, Jose||Fernandes, Valdir",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Barreiras à transferência de tecnologia da universidade para a sociedade,Não informado pela instituição,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Ciências Humanas; Sociologia; Multidisciplinar; Interdisciplinar||Transferência de tecnologia; Instituição de ensino superior; Políticas públicas.,Não informado pela instituição,https://periodicos.utfpr.edu.br/rts/article/view/14981
"Souza,Emanuel||Kalid,Ricardo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Transferência de tecnologia no cultivo de mandioca – o caso do Projeto Reniva,Não informado pela instituição,Universidade Católica Dom Bosco (UCDB),UCDB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,agricultura familiar||biofábrica||cadeia produtiva||Manihot esculenta Crantz,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122022000200423
"ESTEVAO, P.||SOUSA, D. N. de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Internet e transferência de tecnologia: a Embrapa na opinião dos extensionistas rurais.,2020,Empresa Brasileira de Pesquisa Agropecuária (Embrapa),EMBRAPA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://www.alice.cnptia.embrapa.br/alice/handle/doc/1125807
"ESTEVAO, P.||SOUSA, D. N. de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Internet e transferência de tecnologia: a Embrapa na opinião dos extensionistas rurais.,2020,Empresa Brasileira de Pesquisa Agropecuária (Embrapa),EMBRAPA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,http://www.alice.cnptia.embrapa.br/alice/handle/doc/1133352
"OLIVEIRA, JOSANE GOMES WEBER||SOUZA, ALBERTINA DOS SANTOS||OLIVEIRA, MARCELO GARCEZ DE||XAVIER, GEOVANE SILVA",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,TRANSFERÊNCIA DE TECNOLOGIA E DESENVOLVIMENTO SUSTENTÁVEL: O CRITT- UFJF E SUA TRAJETÓRIA,2019-11-27,Universidade Federal de Santa Catarina (UFSC),UFSC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,https://repositorio.ufsc.br/handle/123456789/201830
"Oliveira, João Leandro Cássio de||Carvalho, João Francisco Sarno||Oliveira, Francisco Horácio Pereira de||Rapini, Márcia Siqueira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Transferência de tecnologia como agente desenvolvedor da cultura de inovação na UFMG.,2020,Universidade Federal de Ouro Preto (UFOP),UFOP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Núcleo de inovação tecnológica||Universidade Federal de Minas Gerais,Não informado pela instituição,http://www.repositorio.ufop.br/jspui/handle/123456789/13319
"Estevão, Pricila||Sousa, Diego Neves de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Internet e transferência de tecnologia: a Embrapa na opinião dos extensionistas rurais,Não informado pela instituição,Universidade Tecnológica Federal do Paraná (UTFPR),UTFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,7.02.05.00-0 Sociologia Rural; 5.01.06.00-7 Extensão Rural; 6.09.00.00-8 Comunicação;||Cadeia produtiva do leite; Transferência de tecnologia; Extensão rural.,Não informado pela instituição,https://periodicos.utfpr.edu.br/rts/article/view/11597
"LEITE, J. L. B.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Transferência de tecnologia e inovação (TT&I) pela Embrapa: uma proposta disruptiva.,2019,Empresa Brasileira de Pesquisa Agropecuária (Embrapa),EMBRAPA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Assistência técnica continuada||Computação nas nuvens||Instituições de P&D||Ongoing technical assistance||Production chains||Cloud computing||R&D institutions,Não informado pela instituição,http://www.alice.cnptia.embrapa.br/alice/handle/doc/1118024
"Corrêa, Caetano Dias||Barbora, Patrícia Loureiro Abreu Alves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,Transferência de Tecnologia em Contratos Internacionais de Fornecimento – Desenvolvendo a Indústria Local,Não informado pela instituição,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Internacional||Privado||Transferência de Tecnologia||Desenvolvimento||Contratos Internacionais,Não informado pela instituição,https://seer.ufrgs.br/index.php/ppgdir/article/view/72674
"Costa,Agnaldo da||Pilatti,Luiz Alberto||Santos,Celso Bilynkievycz",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,article,"Inovação, desenvolvimento e transferência de tecnologia em universidade clássica e tecnológica: comparação entre UFABC e UTFPR",Não informado pela instituição,Universidade de Sorocaba (UNISO),UNISO,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,Não informado pela instituição,Universidades clássicas||Universidades tecnológicas||Patentes||Inovação,Não informado pela instituição,http://old.scielo.br/scielo.php?script=sci_arttext&pid=S1414-40772021000200347
